time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-07T12:40:12.050Z,37.642334,-118.9486694,4.64,0.91,md,8,129,0.0247,0.01,nc,nc73288055,2019-10-07T13:24:03.105Z,"3km ENE of Mammoth Lakes, CA",earthquake,2.01,2.67,0.2,8,automatic,nc,nc
2019-10-07T12:35:46.503Z,27.4049,91.3314,10,4.7,mb,,155,8.412,0.55,us,us70005rkb,2019-10-07T15:51:24.813Z,"17km NNE of Mongar, Bhutan",earthquake,13.2,2,0.083,44,reviewed,us,us
2019-10-07T12:32:12.560Z,33.1485,-115.5436667,3.89,1.31,ml,8,221,0.07465,0.18,ci,ci39116488,2019-10-07T12:36:01.505Z,"4km NW of Calipatria, CA",earthquake,1.79,1.25,0.151,19,automatic,ci,ci
2019-10-07T12:25:49.660Z,19.2026672,-155.4361725,34.15,2.16,md,52,150,0.05036,0.12,hv,hv71169726,2019-10-07T12:31:32.650Z,"4km E of Pahala, Hawaii",earthquake,0.53,0.67,0.21,33,automatic,hv,hv
2019-10-07T12:24:13.220Z,18.3203,-67.0148,15,2.05,md,11,102,0.1611,0.17,pr,pr2019280018,2019-10-07T17:21:06.951Z,"3km SW of San Sebastian, Puerto Rico",earthquake,0.37,1.08,0.23,7,reviewed,pr,pr
2019-10-07T12:20:16.710Z,34.7955,-118.9066667,13.87,1.43,ml,29,40,0.03423,0.26,ci,ci39116464,2019-10-07T12:23:45.364Z,"5km SE of Frazier Park, CA",earthquake,0.48,0.8,0.231,30,automatic,ci,ci
2019-10-07T12:19:08.949Z,60.2012,-152.8367,114.2,1.9,ml,,,,0.62,ak,ak019cv9qgsj,2019-10-07T12:28:29.539Z,"32km S of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-07T12:06:40.700Z,37.6413345,-118.9521637,4.51,0.98,md,13,132,0.02655,0.02,nc,nc73288040,2019-10-07T13:12:04.015Z,"2km ENE of Mammoth Lakes, CA",earthquake,0.47,0.85,0.21,11,automatic,nc,nc
2019-10-07T12:06:00.040Z,36.6570015,-121.2708359,5.03,1.97,md,19,140,0.04905,0.06,nc,nc73288035,2019-10-07T15:48:02.401Z,"15km SSE of Tres Pinos, CA",earthquake,0.37,1.09,0.19,18,automatic,nc,nc
2019-10-07T11:59:47.970Z,38.7971649,-122.7385025,1.63,1.17,md,15,74,0.01398,0.04,nc,nc73288030,2019-10-07T15:18:03.142Z,"3km NE of The Geysers, CA",earthquake,0.24,0.5,0.12,6,automatic,nc,nc
